流水号,流程类型,工作名称/文号,发起部门,发起人,开始时间,结束时间,公共附件,状态,操作
803,编制内部质量控制文件,1111-111-编制内部质量控制文件（2026年03月03日10:51）项目辅助人,研发部,项目辅助人,2026-03-03 10:51:58,2026-03-03 13:44:49,,已结束,流程图 点评 更多 恢复执行 编辑 删除
802,用章申请表,-档案管理员-用章申请表（2026年02月28日17:09）档案管理员,研发部,档案管理员,2026-02-28 17:09:09,2026-02-28 17:09:20,,已结束,流程图 点评 更多 恢复执行 编辑 删除
801,发交费通知书及相关函件,1111-111-发交费通知书及相关函件（2026年02月28日14:28）项目负责人,研发部,项目负责人,2026-02-28 14:28:29,2026-03-03 13:44:49,,已结束,流程图 点评 更多 恢复执行 编辑 删除
800,收到委托书,1111-111-收到委托书（2026年02月28日14:25）档案管理员,研发部,档案管理员,2026-02-28 14:25:13,2026-03-03 13:44:49,,已结束,流程图 点评 更多 恢复执行 编辑 删除
799,收到委托书,123-123-收到委托书（2026年02月27日16:08）档案管理员,研发部,档案管理员,2026-02-27 16:08:56,,,执行中,流程图 点评 更多 催办 关注 结束 删除
798,不予受理,ad-as-不予受理（2026年02月27日16:05）项目负责人,研发部,项目负责人,2026-02-27 16:05:55,,,执行中,流程图 点评 更多 催办 关注 结束 删除
797,收到委托书,ad-as-收到委托书（2026年02月27日15:55）项目负责人,研发部,项目负责人,2026-02-27 15:55:43,,,执行中,流程图 点评 更多 催办 关注 结束 删除
796,用章申请表,-档案管理员-用章申请表（2026年02月27日14:20）档案管理员,研发部,档案管理员,2026-02-27 14:20:44,2026-02-27 14:20:54,,已结束,流程图 点评 更多 恢复执行 编辑 删除
795,归档,诉（2025）-某某法院-归档（2026年02月27日14:15）档案管理员,研发部,档案管理员,2026-02-27 14:15:17,2026-02-27 16:08:40,,已结束,流程图 点评 更多 恢复执行 编辑 删除
794,鉴定意见书征求意见稿送审稿编制,诉（2025）-某某法院-鉴定意见书征求意见稿送审稿编制（2026年02月27日14:04）项目负责人,研发部,项目负责人,2026-02-27 14:04:20,,,执行中,流程图 点评 更多 催办 关注 结束 删除
793,发交费通知书及相关函件,诉（2025）-某某法院-发交费通知书及相关函件（2026年02月27日13:40）项目负责人,研发部,项目负责人,2026-02-27 13:40:09,,,执行中,流程图 点评 更多 催办 关注 结束 删除
792,收到委托书,诉（2025）-某某法院-收到委托书（2026年02月27日09:36）档案管理员,研发部,档案管理员,2026-02-27 09:36:49,,,执行中,流程图 点评 更多 催办 关注 结束 删除
791,材料接收与返还,诉（2025）-某某法院-材料接收与返还（2026年02月27日09:36）项目负责人,研发部,项目负责人,2026-02-27 09:36:37,,,执行中,流程图 点评 更多 催办 关注 结束 删除
790,用章申请表,-档案管理员-用章申请表（2026年02月27日09:32）档案管理员,研发部,档案管理员,2026-02-27 09:32:34,2026-02-27 09:36:21,,已结束,流程图 点评 更多 恢复执行 编辑 删除
789,不予受理,诉（2025）-某某法院-不予受理（2026年02月26日17:15）项目负责人,研发部,项目负责人,2026-02-26 17:15:40,2026-02-27 16:08:40,,已结束,流程图 点评 更多 恢复执行 编辑 删除
788,收到委托书,诉（2025）-某某法院-收到委托书（2026年02月26日17:02）档案管理员,研发部,档案管理员,2026-02-26 17:02:05,,,执行中,流程图 点评 更多 催办 关注 结束 删除
787,用章申请表,{申请文件名称}|[1]-{申请人}|[1]-用章申请表（2026年02月09日16:43）档案管理员,研发部,档案管理员,2026-02-09 16:43:12,,,执行中,流程图 点评 更多 催办 关注 结束 删除
786,编制内部质量控制文件,（2026）京民初 0001号-北京市人民法院-编制内部质量控制文件（2026年02月09日16:19）项目辅助人,研发部,项目辅助人,2026-02-09 16:19:32,,,执行中,流程图 点评 更多 催办 关注 结束 删除
785,用章申请表,-档案管理员-用章申请表（2026年02月09日16:17）档案管理员,研发部,档案管理员,2026-02-09 16:17:14,2026-02-09 16:17:59,,已结束,流程图 点评 更多 恢复执行 编辑 删除
784,发交费通知书及相关函件,（2026）京民初 0001号-北京市人民法院-发交费通知书及相关函件（2026年02月09日16:04）项目负责人,研发部,项目负责人,2026-02-09 16:04:48,,,执行中,流程图 点评 更多 催办 关注 结束 删除
783,现场勘验,{案件号}|[1]-{委托人}|[1]-现场勘验（2026年02月09日15:22）项目辅助人,研发部,项目辅助人,2026-02-09 15:23:00,,,执行中,流程图 点评 更多 催办 关注 结束 删除
782,初步勘验,（2026）京民初 0001号-北京市人民法院-初步勘验（2026年02月09日15:19）项目负责人,研发部,项目负责人,2026-02-09 15:19:08,2026-02-09 16:17:59,,已结束,流程图 点评 更多 恢复执行 编辑 删除
781,收到委托书,（2026）京民初 0001号-北京市人民法院-收到委托书（2026年02月09日14:40）项目负责人,研发部,项目负责人,2026-02-09 14:40:28,2026-02-09 16:17:59,,已结束,流程图 点评 更多 恢复执行 编辑 删除
780,收到委托书,（2026）京民初 0001号-北京市人民法院-收到委托书（2026年02月09日14:09）项目负责人,研发部,项目负责人,2026-02-09 14:09:30,2026-02-09 14:38:08,,已结束,流程图 点评 更多 恢复执行 编辑 删除
779,归档,--归档（2026年02月08日10:53）档案管理员,研发部,档案管理员,2026-02-08 10:53:33,,,执行中,流程图 点评 更多 催办 关注 结束 删除
777,案件暂停,京民初 1113号-案件暂停（2026年02月07日16:11）项目负责人,研发部,项目负责人,2026-02-07 16:11:47,2026-02-07 16:48:23,,已结束,流程图 点评 更多 恢复执行 编辑 删除
776,案件暂停,案件号-案件暂停（2026年02月07日14:50）项目负责人,研发部,项目负责人,2026-02-07 14:50:45,2026-02-07 15:38:57,,已结束,流程图 点评 更多 恢复执行 编辑 删除
775,案件暂停,-案件暂停（2026年02月07日14:37）项目负责人,研发部,项目负责人,2026-02-07 14:37:12,,,执行中,流程图 点评 更多 催办 关注 结束 删除
774,收到委托书,{案件号}|[1]-{委托人}|[1]-收到委托书（2026年02月07日14:36）项目负责人,研发部,项目负责人,2026-02-07 14:36:00,,,执行中,流程图 点评 更多 催办 关注 结束 删除
772,案件暂停,（2026年02月07日14:29）项目负责人,研发部,项目负责人,2026-02-07 14:29:35,,,执行中,流程图 点评 更多 催办 关注 结束 删除
769,案件暂停,案件暂停（2026年02月07日14:14）项目负责人,研发部,项目负责人,2026-02-07 14:14:33,,,执行中,流程图 点评 更多 催办 关注 结束 删除
767,案件暂停,案件暂停（2026年02月07日14:12）项目负责人,研发部,项目负责人,2026-02-07 14:12:25,,,执行中,流程图 点评 更多 催办 关注 结束 删除
766,案件暂停,--案件暂停（2026年02月07日11:41）项目负责人,研发部,项目负责人,2026-02-07 11:41:35,2026-02-07 11:43:24,,已结束,流程图 点评 更多 恢复执行 编辑 删除
763,案件暂停,--案件暂停（2026年02月07日11:02）项目负责人,研发部,项目负责人,2026-02-07 11:02:25,2026-02-07 11:14:35,,已结束,流程图 点评 更多 恢复执行 编辑 删除
762,案件暂停,--案件暂停（2026年02月04日22:00）项目负责人,研发部,项目负责人,2026-02-04 22:00:55,2026-02-04 22:01:25,,已结束,流程图 点评 更多 恢复执行 编辑 删除
759,案件暂停,--案件暂停（2026年02月04日21:57）项目负责人,研发部,项目负责人,2026-02-04 21:57:21,2026-02-07 13:58:51,,已结束,流程图 点评 更多 恢复执行 编辑 删除
754,收到撤案函,145646456--收到撤案函（2026年01月25日17:34）系统管理员,综合办,系统管理员,2026-01-25 17:34:28,,,执行中,流程图 点评 更多 催办 关注 结束 删除
753,终止鉴定,{案件号}|[1]-{委托人}|[1]-终止鉴定（2026年01月25日17:31）项目负责人,研发部,项目负责人,2026-01-25 17:31:01,,,执行中,流程图 点评 更多 催办 关注 结束 删除
752,收到委托书,{案件号}|[1]-{委托人}|[1]-收到委托书（2026年01月25日17:09）系统管理员,综合办,系统管理员,2026-01-25 17:09:11,,,执行中,流程图 点评 更多 催办 关注 结束 删除
751,发交费通知书及相关函件,2025内12121-法院-发交费通知书及相关函件（2026年01月22日15:46）项目负责人,研发部,项目负责人,2026-01-22 15:46:38,,,执行中,流程图 点评 更多 催办 关注 结束 删除
750,初步勘验,2025内12121-法院-初步勘验（2026年01月22日15:08）项目负责人,研发部,项目负责人,2026-01-22 15:08:41,,,执行中,流程图 点评 更多 催办 关注 结束 删除
749,收到委托书,123456-内蒙法院-收到委托书（2026年01月22日13:35）部门负责人,研发部,部门负责人,2026-01-22 13:35:01,2026-01-22 15:01:13,,已结束,流程图 点评 更多 恢复执行 编辑 删除
748,收到委托书,2025内12121-法院-收到委托书（2026年01月22日13:29）项目负责人,研发部,项目负责人,2026-01-22 13:29:26,,,执行中,流程图 点评 更多 催办 关注 结束 删除
747,收到委托书,{案件号}|[2025内1212诉]-{委托人}|[北京市朝阳区人民法院]-收到委托书（2026年01月22日11:30）项目负责人,研发部,项目负责人,2026-01-22 11:30:28,,,执行中,流程图 点评 更多 催办 关注 结束 删除
746,归档,--归档（2026年01月22日11:15）档案管理员,研发部,档案管理员,2026-01-22 11:15:34,2026-01-22 11:36:17,,已结束,流程图 点评 更多 恢复执行 编辑 删除
745,用章申请表,-档案管理员-用章申请表（2026年01月22日11:14）档案管理员,研发部,档案管理员,2026-01-22 11:14:34,2026-01-22 11:15:18,,已结束,流程图 点评 更多 恢复执行 编辑 删除
744,终止鉴定,--终止鉴定（2026年01月22日11:00）项目负责人,研发部,项目负责人,2026-01-22 11:00:28,2026-01-22 11:36:17,,已结束,流程图 点评 更多 恢复执行 编辑 删除
743,现场勘验,2025内01213-委托人-现场勘验（2026年01月22日10:55）项目辅助人,研发部,项目辅助人,2026-01-22 10:55:55,2026-01-22 11:36:17,,已结束,流程图 点评 更多 恢复执行 编辑 删除
742,用章申请表,-档案管理员-用章申请表（2026年01月21日17:15）档案管理员,研发部,档案管理员,2026-01-21 17:15:15,2026-01-21 17:16:39,,已结束,流程图 点评 更多 恢复执行 编辑 删除
741,编制内部质量控制文件,2025内01213-委托人-编制内部质量控制文件（2026年01月21日17:11）项目辅助人,研发部,项目辅助人,2026-01-21 17:11:04,2026-01-22 11:36:17,,已结束,流程图 点评 更多 恢复执行 编辑 删除
740,用章申请表,-档案管理员-用章申请表（2026年01月21日15:36）档案管理员,研发部,档案管理员,2026-01-21 15:36:41,2026-01-21 16:50:32,,已结束,流程图 点评 更多 恢复执行 编辑 删除
739,发交费通知书及相关函件,2025内01213-委托人-发交费通知书及相关函件（2026年01月21日15:21）项目负责人,研发部,项目负责人,2026-01-21 15:21:42,2026-01-22 11:36:17,,已结束,流程图 点评 更多 恢复执行 编辑 删除
738,收到委托书,111112025内1255-张三-收到委托书（2026年01月21日14:37）档案管理员,研发部,档案管理员,2026-01-21 14:37:23,,,执行中,流程图 点评 更多 催办 关注 结束 删除
737,收到委托书,（2025）内0121民初5403号-北京市怀柔区人民法院-收到委托书（2026年01月21日14:16）档案管理员,研发部,档案管理员,2026-01-21 14:28:22,2026-01-22 11:36:17,,已结束,流程图 点评 更多 恢复执行 编辑 删除
736,收到委托书,{案件号}|[1]-{委托人}|[1]-收到委托书（2025年12月28日15:40）项目辅助人,研发部,项目辅助人,2025-12-28 15:40:59,,,执行中,流程图 点评 更多 催办 关注 结束 删除
733,收到委托书,{案件号}|[1]-{委托人}|[1]-收到委托书（2025年12月28日15:37）项目辅助人,研发部,项目辅助人,2025-12-28 15:37:36,,,执行中,流程图 点评 更多 催办 关注 结束 删除
732,收到委托书,{案件号}|[1]-{委托人}|[1]-收到委托书（2025年12月28日15:36）项目辅助人,研发部,项目辅助人,2025-12-28 15:36:30,,,执行中,流程图 点评 更多 催办 关注 结束 删除
718,出具鉴定意见书,--出具鉴定意见书（2025年12月14日21:03）项目负责人,研发部,项目负责人,2025-12-14 21:03:35,,,执行中,流程图 点评 更多 催办 关注 结束 删除
717,归档,--归档（2025年12月14日20:45）档案管理员,研发部,档案管理员,2025-12-14 20:45:56,,,执行中,流程图 点评 更多 催办 关注 结束 删除
716,归档,--归档（2025年12月14日20:44）档案管理员,研发部,档案管理员,2025-12-14 20:44:49,,,执行中,流程图 点评 更多 催办 关注 结束 删除
715,归档,--归档（2025年12月14日20:42）档案管理员,研发部,档案管理员,2025-12-14 20:42:46,,,执行中,流程图 点评 更多 催办 关注 结束 删除
713,材料接收与返还,--材料接收与返还（2025年12月14日20:38）项目负责人,研发部,项目负责人,2025-12-14 20:38:09,,,执行中,流程图 点评 更多 催办 关注 结束 删除
712,材料接收与返还,--材料接收与返还（2025年12月14日20:34）项目负责人,研发部,项目负责人,2025-12-14 20:34:53,,,执行中,流程图 点评 更多 催办 关注 结束 删除
711,材料接收与返还,{案件号}|[1]-{委托人}|[1]-材料接收与返还（2025年12月14日20:30）项目负责人,研发部,项目负责人,2025-12-14 20:30:37,,,执行中,流程图 点评 更多 催办 关注 结束 删除
709,材料接收与返还,{案件号}|[1]-{委托人}|[1]-材料接收与返还（2025年12月14日20:12）项目负责人,研发部,项目负责人,2025-12-14 20:12:00,,,执行中,流程图 点评 更多 催办 关注 结束 删除
708,不予受理,--不予受理（2025年11月27日21:42）项目负责人,研发部,项目负责人,2025-11-27 21:42:16,,,执行中,流程图 点评 更多 催办 关注 结束 删除
707,发交费通知书及相关函件,as-qaw-发交费通知书及相关函件（2025年11月27日21:05）项目负责人,研发部,项目负责人,2025-11-27 21:05:17,,,执行中,流程图 点评 更多 催办 关注 结束 删除
706,材料接收与返还,as-qaw-材料接收与返还（2025年11月27日21:03）项目负责人,研发部,项目负责人,2025-11-27 21:03:24,,,执行中,流程图 点评 更多 催办 关注 结束 删除
705,收到委托书,as-qaw-收到委托书（2025年11月27日21:02）项目负责人,研发部,项目负责人,2025-11-27 21:02:18,,,执行中,流程图 点评 更多 催办 关注 结束 删除
703,收到委托书,123asa-张三4-收到委托书（2025年11月27日20:51）项目负责人,研发部,项目负责人,2025-11-27 20:51:38,2025-11-27 21:01:54,,已结束,流程图 点评 更多 恢复执行 编辑 删除
701,收到委托书,{案件号}|[2]-{委托人}|[2]-收到委托书（2025年11月27日20:24）系统管理员,综合办,系统管理员,2025-11-27 20:24:24,,,执行中,流程图 点评 更多 催办 关注 结束 删除
698,收到委托书,123-李四-收到委托书（2025年11月10日15:47）项目负责人,研发部,项目负责人,2025-11-10 15:47:54,2025-11-10 16:40:53,,已结束,流程图 点评 更多 恢复执行 编辑 删除
697,初步勘验,{案件号}|[2]-{委托人}|[2]-初步勘验（2025年11月05日11:59）项目负责人,研发部,项目负责人,2025-11-05 11:59:26,,,执行中,流程图 点评 更多 催办 关注 结束 删除
696,收到委托书,CEETC -SF -2025,研发部,档案管理员,2025-11-05 11:44:52,,,执行中,流程图 点评 更多 催办 关注 结束 删除
695,初步勘验,{案件号}|[2]-{委托人}|[2]-初步勘验（2025年11月05日11:33）项目负责人,研发部,项目负责人,2025-11-05 11:33:15,,,执行中,流程图 点评 更多 催办 关注 结束 删除
694,收到委托书,CEETC-C-SF-,研发部,项目负责人,2025-11-05 11:26:04,2025-11-05 11:32:37,,已结束,流程图 点评 更多 恢复执行 编辑 删除
691,收到委托书,{案件号}|[2]-{委托人}|[2]-收到委托书（2025年11月05日11:08）部门负责人,研发部,部门负责人,2025-11-05 11:08:37,,,执行中,流程图 点评 更多 催办 关注 结束 删除
690,收到委托书,4444444444-44444-收到委托书（2025年11月05日10:57）项目辅助人,研发部,项目辅助人,2025-11-05 10:57:29,2025-11-05 11:14:17,,已结束,流程图 点评 更多 恢复执行 编辑 删除
689,收到委托书,123-123-收到委托书（2025年11月05日10:52）项目辅助人,研发部,项目辅助人,2025-11-05 10:52:38,,,执行中,流程图 点评 更多 催办 关注 结束 删除
688,收到委托书,{案件号}|[2]-{委托人}|[2]-收到委托书（2025年11月05日10:47）项目辅助人,研发部,项目辅助人,2025-11-05 10:47:15,,,执行中,流程图 点评 更多 催办 关注 结束 删除
686,收到委托书,3333333333333333-123123-收到委托书（2025年11月05日10:33）档案管理员,研发部,档案管理员,2025-11-05 10:33:42,2025-11-05 10:37:48,,已结束,流程图 点评 更多 恢复执行 编辑 删除
685,初步勘验,{案件号}|[2]-{委托人}|[2]-初步勘验（2025年11月05日10:28）项目负责人,研发部,项目负责人,2025-11-05 10:28:35,,,执行中,流程图 点评 更多 催办 关注 结束 删除
684,发交费通知书及相关函件,{案件号}|[2]-{委托人}|[2]-发交费通知书及相关函件（2025年11月05日10:19）项目负责人,研发部,项目负责人,2025-11-05 10:19:45,,,执行中,流程图 点评 更多 催办 关注 结束 删除
683,发交费通知书及相关函件,{案件号}|[2]-{委托人}|[2]-发交费通知书及相关函件（2025年11月05日10:03）项目负责人,研发部,项目负责人,2025-11-05 10:03:09,,,执行中,流程图 点评 更多 催办 关注 结束 删除
682,收到委托书,11111-111111-收到委托书（2025年11月04日14:37）档案管理员,研发部,档案管理员,2025-11-04 14:37:30,2025-11-05 10:17:44,,已结束,流程图 点评 更多 恢复执行 编辑 删除
681,编制内部质量控制文件,{案件号}|[2]-{委托人}|[2]-编制内部质量控制文件（2025年11月03日20:15）项目辅助人,研发部,项目辅助人,2025-11-03 20:15:52,,,执行中,流程图 点评 更多 催办 关注 结束 删除
680,用章申请表,{申请文件名称}|[2]-{申请人}|[2]-用章申请表（2025年11月03日20:15）档案管理员,研发部,档案管理员,2025-11-03 20:15:08,2025-11-03 20:15:13,,已结束,流程图 点评 更多 恢复执行 编辑 删除
679,发交费通知书及相关函件,test123-78989-发交费通知书及相关函件（2025年11月03日20:06）项目负责人,研发部,项目负责人,2025-11-03 20:06:50,,,执行中,流程图 点评 更多 催办 关注 结束 删除
678,初步勘验,test123-78989-初步勘验（2025年11月03日20:03）项目负责人,研发部,项目负责人,2025-11-03 20:03:40,2025-11-03 20:15:13,,已结束,流程图 点评 更多 恢复执行 编辑 删除
677,收到委托书,test123-78989-收到委托书（2025年11月03日20:01）项目负责人,研发部,项目负责人,2025-11-03 20:01:00,2025-11-03 20:15:13,,已结束,流程图 点评 更多 恢复执行 编辑 删除
676,收到委托书,{案件号}|[2]-{委托人}|[2]-收到委托书（2025年11月03日19:20）系统管理员,综合办,系统管理员,2025-11-03 19:20:23,,,执行中,流程图 点评 更多 催办 关注 结束 删除
674,收到委托书,{案件号}|[2]-{委托人}|[2]-收到委托书（2025年11月03日19:13）系统管理员,综合办,系统管理员,2025-11-03 19:13:03,,,执行中,流程图 点评 更多 催办 关注 结束 删除
670,财务报销,{申请人}|[2]-财务报销（2025年10月30日23:51）档案管理员,研发部,档案管理员,2025-10-30 23:51:56,,,执行中,流程图 点评 更多 催办 关注 结束 删除
669,退费,--退费（2025年10月30日23:42）项目负责人,研发部,项目负责人,2025-10-30 23:42:27,,,执行中,流程图 点评 更多 催办 关注 结束 删除
668,收到撤案函,--收到撤案函（2025年10月30日23:31）项目辅助人,研发部,项目辅助人,2025-10-30 23:31:32,,,执行中,流程图 点评 更多 催办 关注 结束 删除
667,用章申请表,{申请文件名称}|[2]-{申请人}|[2]-用章申请表（2025年10月30日23:29）档案管理员,研发部,档案管理员,2025-10-30 23:29:23,2025-10-30 23:30:03,,已结束,流程图 点评 更多 恢复执行 编辑 删除
666,不予受理,--不予受理（2025年10月30日22:27）项目负责人,研发部,项目负责人,2025-10-30 22:27:44,,,执行中,流程图 点评 更多 催办 关注 结束 删除
665,发交费通知书及相关函件,{案件号}|[2]-{委托人}|[2]-发交费通知书及相关函件（2025年10月30日22:13）项目负责人,研发部,项目负责人,2025-10-30 22:13:23,,,执行中,流程图 点评 更多 催办 关注 结束 删除
664,收到出庭通知,--收到出庭通知（2025年10月30日21:57）项目负责人,研发部,项目负责人,2025-10-30 21:57:42,,,执行中,流程图 点评 更多 催办 关注 结束 删除
663,收到法院其他函件（含异议函）,--收到法院其他函件（含异议函）（2025年10月30日21:46）项目负责人,研发部,项目负责人,2025-10-30 21:46:10,,,执行中,流程图 点评 更多 催办 关注 结束 删除
662,归档,{案件号}|[2]-{委托人}|[2]-归档（2025年10月30日21:42）档案管理员,研发部,档案管理员,2025-10-30 21:42:01,,,执行中,流程图 点评 更多 催办 关注 结束 删除
661,用章申请表,{申请文件名称}|[2]-{申请人}|[2]-用章申请表（2025年10月30日21:40）档案管理员,研发部,档案管理员,2025-10-30 21:40:27,2025-10-30 21:41:21,,已结束,流程图 点评 更多 恢复执行 编辑 删除
660,终止鉴定,{案件号}|[2]-{委托人}|[2]-终止鉴定（2025年10月30日21:28）项目负责人,研发部,项目负责人,2025-10-30 21:28:51,,,执行中,流程图 点评 更多 催办 关注 结束 删除
659,初步勘验,123asa-张三4-初步勘验（2025年10月30日21:21）项目负责人,研发部,项目负责人,2025-10-30 21:21:46,,,执行中,流程图 点评 更多 催办 关注 结束 删除
658,收到委托书,123asa-张三4-收到委托书（2025年10月30日21:20）项目负责人,研发部,项目负责人,2025-10-30 21:20:12,,,执行中,流程图 点评 更多 催办 关注 结束 删除
657,终止鉴定,-张三3-终止鉴定（2025年10月29日23:02）项目负责人,研发部,项目负责人,2025-10-29 23:02:54,,,执行中,流程图 点评 更多 催办 关注 结束 删除
656,用章申请表,{申请文件名称}|[2]-{申请人}|[2]-用章申请表（2025年10月29日23:01）档案管理员,研发部,档案管理员,2025-10-29 23:01:47,2025-10-29 23:02:13,,已结束,流程图 点评 更多 恢复执行 编辑 删除
655,归档,{案件号}|[2]-{委托人}|[2]-归档（2025年10月29日23:01）档案管理员,研发部,档案管理员,2025-10-29 23:01:06,,,执行中,流程图 点评 更多 催办 关注 结束 删除
654,用章申请表,{申请文件名称}|[2]-{申请人}|[2]-用章申请表（2025年10月29日22:57）档案管理员,研发部,档案管理员,2025-10-29 22:57:33,2025-10-29 22:58:08,,已结束,流程图 点评 更多 恢复执行 编辑 删除
653,出具鉴定意见书,123-张三2-出具鉴定意见书（2025年10月29日22:46）项目负责人,研发部,项目负责人,2025-10-29 22:46:34,,,执行中,流程图 点评 更多 催办 关注 结束 删除
652,鉴定意见书送审稿编制,123-张三2-鉴定意见书送审稿编制（2025年10月29日22:35）项目负责人,研发部,项目负责人,2025-10-29 22:35:52,2025-10-29 23:00:06,,已结束,流程图 点评 更多 恢复执行 编辑 删除
651,材料接收与返还,123-张三2-材料接收与返还（2025年10月29日22:32）项目负责人,研发部,项目负责人,2025-10-29 22:32:15,2025-10-29 23:00:06,,已结束,流程图 点评 更多 恢复执行 编辑 删除
649,收到法院其他函件（含异议函）,{案件号}|[2]-{委托人}|[2]-收到法院其他函件（含异议函）（2025年10月29日22:27）项目负责人,研发部,项目负责人,2025-10-29 22:27:25,,,执行中,流程图 点评 更多 催办 关注 结束 删除
648,归档,{案件号}|[2]-{委托人}|[2]-归档（2025年10月29日22:22）档案管理员,研发部,档案管理员,2025-10-29 22:22:05,,,执行中,流程图 点评 更多 催办 关注 结束 删除
647,用章申请表,{申请文件名称}|[2]-{申请人}|[2]-用章申请表（2025年10月29日22:16）档案管理员,研发部,档案管理员,2025-10-29 22:16:28,2025-10-29 22:19:23,,已结束,流程图 点评 更多 恢复执行 编辑 删除
646,出具征求意见稿,-张三1-出具征求意见稿（2025年10月22日22:02）项目辅助人,研发部,项目辅助人,2025-10-22 22:02:05,,,执行中,流程图 点评 更多 催办 关注 结束 删除
645,鉴定意见书征求意见稿送审稿编制,-张三1-鉴定意见书征求意见稿送审稿编制（2025年10月22日21:44）项目负责人,研发部,项目负责人,2025-10-22 21:44:47,2025-10-29 22:19:23,,已结束,流程图 点评 更多 恢复执行 编辑 删除
644,归档,{案件号}|[2]-{委托人}|[2]-归档（2025年10月22日21:26）档案管理员,研发部,档案管理员,2025-10-22 21:26:42,2025-10-22 21:33:46,,已结束,流程图 点评 更多 恢复执行 编辑 删除
643,材料接收与返还,-张三1-材料接收与返还（2025年10月22日20:59）项目负责人,研发部,项目负责人,2025-10-22 20:59:26,2025-10-29 22:19:23,,已结束,流程图 点评 更多 恢复执行 编辑 删除
642,编制内部质量控制文件,{案件号}|[2]-{委托人}|[2]-编制内部质量控制文件（2025年10月22日20:53）项目辅助人,研发部,项目辅助人,2025-10-22 20:53:34,,,执行中,流程图 点评 更多 催办 关注 结束 删除
641,用章申请表,{申请文件名称}|[2]-{申请人}|[2]-用章申请表（2025年10月22日20:52）档案管理员,研发部,档案管理员,2025-10-22 20:52:00,2025-10-22 20:52:08,,已结束,流程图 点评 更多 恢复执行 编辑 删除
640,发交费通知书及相关函件,123-张三1-发交费通知书及相关函件（2025年10月22日20:46）项目负责人,研发部,项目负责人,2025-10-22 20:46:20,,,执行中,流程图 点评 更多 催办 关注 结束 删除
