流水号,流程类型,工作名称/文号,发起部门,发起人,开始时间,结束时间,公共附件,状态,操作
654,用章申请表,{申请文件名称}|[2]-{申请人}|[2]-用章申请表（2025年10月29日22:57）档案管理员,研发部,档案管理员,2025-10-29 22:57:33,2025-10-29 22:58:08,,已结束,流程图 点评 更多 恢复执行 编辑 删除
647,用章申请表,{申请文件名称}|[2]-{申请人}|[2]-用章申请表（2025年10月29日22:16）档案管理员,研发部,档案管理员,2025-10-29 22:16:28,2025-10-29 22:19:23,,已结束,流程图 点评 更多 恢复执行 编辑 删除
641,用章申请表,{申请文件名称}|[2]-{申请人}|[2]-用章申请表（2025年10月22日20:52）档案管理员,研发部,档案管理员,2025-10-22 20:52:00,2025-10-22 20:52:08,,已结束,流程图 点评 更多 恢复执行 编辑 删除
633,用章申请表,{申请文件名称}|[2]-{申请人}|[2]-用章申请表（2025年10月22日19:53）档案管理员,研发部,档案管理员,2025-10-22 19:53:12,2025-10-22 19:54:35,,已结束,流程图 点评 更多 恢复执行 编辑 删除
630,用章申请表,{申请文件名称}|[2]-{申请人}|[2]-用章申请表（2025年10月17日09:05）档案管理员,研发部,档案管理员,2025-10-17 09:05:47,2025-10-17 11:30:56,,已结束,流程图 点评 更多 恢复执行 编辑 删除
628,用章申请表,{申请文件名称}|[2]-{申请人}|[2]-用章申请表（2025年10月16日16:43）档案管理员,研发部,档案管理员,2025-10-16 16:43:09,2025-10-16 16:43:27,,已结束,流程图 点评 更多 恢复执行 编辑 删除
624,用章申请表,{申请文件名称}|[2]-{申请人}|[2]-用章申请表（2025年10月16日16:13）档案管理员,研发部,档案管理员,2025-10-16 16:13:42,2025-10-16 16:14:12,,已结束,流程图 点评 更多 恢复执行 编辑 删除
622,用章申请表,{申请文件名称}|[2]-{申请人}|[2]-用章申请表（2025年10月16日16:07）档案管理员,研发部,档案管理员,2025-10-16 16:07:40,2025-10-16 16:07:49,,已结束,流程图 点评 更多 恢复执行 编辑 删除
618,用章申请表,{申请文件名称}|[2]-{申请人}|[2]-用章申请表（2025年10月16日15:50）档案管理员,研发部,档案管理员,2025-10-16 15:50:26,2025-10-16 15:50:44,,已结束,流程图 点评 更多 恢复执行 编辑 删除
612,用章申请表,{申请文件名称}|[2]-{申请人}|[2]-用章申请表（2025年10月16日14:55）档案管理员,研发部,档案管理员,2025-10-16 14:55:20,2025-10-16 14:55:49,,已结束,流程图 点评 更多 恢复执行 编辑 删除
610,用章申请表,{申请文件名称}|[2]-{申请人}|[2]-用章申请表（2025年10月16日13:57）档案管理员,研发部,档案管理员,2025-10-16 13:57:10,2025-10-16 13:57:29,,已结束,流程图 点评 更多 恢复执行 编辑 删除
603,用章申请表,{申请文件名称}|[2]-{申请人}|[2]-用章申请表（2025年10月16日10:43）档案管理员,研发部,档案管理员,2025-10-16 10:43:21,2025-10-22 19:27:52,,已结束,流程图 点评 更多 恢复执行 编辑 删除
601,用章申请表,{申请文件名称}|[2]-{申请人}|[2]-用章申请表（2025年10月16日10:41）档案管理员,研发部,档案管理员,2025-10-16 10:41:38,2025-10-16 10:42:07,,已结束,流程图 点评 更多 恢复执行 编辑 删除
592,用章申请表,{申请文件名称}|[2]-{申请人}|[2]-用章申请表（2025年10月15日17:05）档案管理员,研发部,档案管理员,2025-10-15 17:05:09,2025-10-15 17:06:16,,已结束,流程图 点评 更多 恢复执行 编辑 删除
586,用章申请表,{申请文件名称}|[2]-{申请人}|[2]-用章申请表（2025年10月15日16:20）档案管理员,研发部,档案管理员,2025-10-15 16:20:08,2025-10-15 16:23:04,,已结束,流程图 点评 更多 恢复执行 编辑 删除
583,用章申请表,{申请文件名称}|[2]-{申请人}|[2]-用章申请表（2025年10月15日15:30）档案管理员,研发部,档案管理员,2025-10-15 15:30:44,2025-10-15 15:45:24,,已结束,流程图 点评 更多 恢复执行 编辑 删除
576,用章申请表,{申请文件名称}|[2]-{申请人}|[2]-用章申请表（2025年10月15日14:29）档案管理员,研发部,档案管理员,2025-10-15 14:29:25,2025-10-15 14:29:49,,已结束,流程图 点评 更多 恢复执行 编辑 删除
564,用章申请表,{申请文件名称}|[2]-{申请人}|[2]-用章申请表（2025年10月15日11:19）档案管理员,研发部,档案管理员,2025-10-15 11:19:21,2025-10-15 11:27:56,,已结束,流程图 点评 更多 恢复执行 编辑 删除
544,用章申请表,{申请文件名称}|[2]-{申请人}|[2]-用章申请表（2025年10月12日22:34）档案管理员,研发部,档案管理员,2025-10-12 22:34:06,2025-10-12 22:34:33,,已结束,流程图 点评 更多 恢复执行 编辑 删除
540,用章申请表,{申请文件名称}|[2]-{申请人}|[2]-用章申请表（2025年10月12日22:29）档案管理员,研发部,档案管理员,2025-10-12 22:29:43,2025-10-12 22:29:57,,已结束,流程图 点评 更多 恢复执行 编辑 删除
538,用章申请表,{申请文件名称}|[2]-{申请人}|[2]-用章申请表（2025年10月12日22:26）档案管理员,研发部,档案管理员,2025-10-12 22:26:52,2025-10-12 22:27:13,,已结束,流程图 点评 更多 恢复执行 编辑 删除
531,用章申请表,用章申请表（2025年10月12日21:59）档案管理员,研发部,档案管理员,2025-10-12 21:59:00,2025-10-12 21:59:40,,已结束,流程图 点评 更多 恢复执行 编辑 删除
528,用章申请表,用章申请表（2025年10月12日21:49）档案管理员,研发部,档案管理员,2025-10-12 21:49:02,2025-10-12 21:50:44,,已结束,流程图 点评 更多 恢复执行 编辑 删除
526,用章申请表,用章申请表（2025年10月12日21:40）档案管理员,研发部,档案管理员,2025-10-12 21:40:32,2025-10-12 21:40:43,,已结束,流程图 点评 更多 恢复执行 编辑 删除
